kind,address,name,type,notes
func,0x0010,main,int main(int argc char **argv),verified; state machine intro/scores/menu/carselect/game/dos prompt
func,0x0243,load_cars_txt,void(void),verified; CARS.TXT up to 10 lines into DS:7F64
func,0x02BF,play_again_menu,int(void),verified; 0 same car 1 new car -1 Esc
func,0x037A,run_intro,int(void),verified; ACCOLADE.PES then TESTDRV.PES
func,0x03F4,intro_accolade,int(void),verified; acc/pres/copy wipe + bull bar
func,0x051B,intro_testdrive_car,int(void),verified; window anim then car drives off
func,0x0792,intro_testdrive_logo,int(void),verified; tdrv bounce + fob/tmar + controls hint
func,0x098C,car_select,int(void),verified; 0 Enter 1 Esc -1 timeout
func,0x0AB2,show_car,void(int idx int dir),verified flow; slide primitive 0x91CF guess
func,0x0D75,showroom_drive_away,void(int idx),verified; parses <car>.SS
func,0x1000,read_line_strip,void(char *buf int n FILE *f),verified; fgets + drop last char
func,0x1030,run_game,int(void),verified; 0 -> scores 1 -> intro
func,0x125D,stage_score,long(void),verified; factor*1e6/max(100 (t-par)*12)+bonus
func,0x12DB,high_scores,int(long newScore),verified
func,0x1369,scores_load,void(char *names long *scores char *cars),verified; CRC-8 seed = valid row count
func,0x1482,scores_enter_name,void(long score int car char *names long *scores char *cars),verified
func,0x162E,scores_save,void(char *names long *scores char *cars),verified
func,0x16D7,scores_show,int(char *names long *scores char *cars),verified
func,0x186E,credits_show,int(void),verified
func,0x1993,stage_results,void(long score),verified; gas station screen
func,0x1B36,results_text,void(long score),verified; speed tiers 50/65/95/105
func,0x1CFA,results_add_line,void(const char *s),verified
func,0x1D20,results_scroll,void(void),verified
func,0x1DC0,run_stage,int(void),verified; asm; -1 quit/demo end 0 game over 1 stage done
func,0x1F4E,stage_init,void(void),verified
func,0x1F7B,wait_any_input,void(void),likely
func,0x1F93,car_state_reset,void(void),see scene_render; provisional name
func,0x38EB,ending_dealership,void(void),see scene_render; deal + glove box note
func,0x392C,crash_sequence,void(void),see scene_render; provisional name
func,0x4792,stage_setup,void(void),see simulation; sprites + int0/int8 hooks; provisional name
func,0x4941,fill_rect,void(int x int y int w int h int color),see platform; likely
func,0x4B98,clear_screen,void(int color),see platform; verified
func,0x4BD0,draw_text,void(char *s int x int y),see platform; verified; falls into 0x4BE7
func,0x4BE7,draw_text_at_pen,void(char *s),see platform; verified; 8x8 font renderer
func,0x4D84,set_palette,void(int dsOffset),see platform; verified; int10 AX=1002h
func,0x4D96,video_init,void(void),see platform; likely
func,0x50A1,set_clip,void(desc far* int x0b int x1b int y0 int y1),see platform; verified
func,0x50FE,restore_text_mode,void(void),see platform; likely
func,0x5128,set_target,void(desc far*),see platform; verified
func,0x5150,alloc_page,far*(int wBytes int h int planes),see platform; likely
func,0x5C24,read_joy_key,uint(void),see platform; likely
func,0x5D84,draw_sprite_at_hot,void(spr far* int x int y),see platform; likely
func,0x5DB6,draw_sprite_at,void(spr far* int x int y),see platform; likely
func,0x5DE2,draw_sprite_5DE2,void(spr far*),see platform; guess
