kind,address,name,type,owner,other_names,notes,cga
func,0x0010,main,int main(int argc char **argv),game_flow,,verified; state machine intro/scores/menu/carselect/game/dos prompt,0x0010
func,0x0243,load_cars_txt,void(void),game_flow,,verified; CARS.TXT up to 10 lines into DS:7F64,0x023E
func,0x02BF,play_again_menu,int(void),game_flow,,verified; 0 same car 1 new car -1 Esc,0x02BA
func,0x037A,run_intro,int(void),game_flow,,verified; ACCOLADE.PES then TESTDRV.PES,0x0375
func,0x03F4,intro_accolade,int(void),game_flow,,verified; acc/pres/copy wipe + bull bar,0x03EF
func,0x051B,intro_testdrive_car,int(void),game_flow,,verified; window anim then car drives off,0x0516
func,0x0792,intro_testdrive_logo,int(void),game_flow,,verified; tdrv bounce + fob/tmar + controls hint,0x078D
func,0x098C,car_select,int(void),game_flow,,verified; 0 Enter 1 Esc -1 timeout,0x0987
func,0x0AB2,show_car,void(int idx int dir),game_flow,,verified flow; slide primitive 0x91CF guess,0x0AAD
func,0x0D75,showroom_drive_away,void(int idx),game_flow,,verified; parses <car>.SS,0x0D3F
func,0x1000,read_line_strip,void(char *buf int n FILE *f),game_flow,,verified; fgets + drop last char,0x0FCA
func,0x1030,run_game,int(void),game_flow,,verified; 0 -> scores 1 -> intro,0x0FFA
func,0x125D,stage_score,long(void),game_flow,,verified; factor*1e6/max(100 (t-par)*12)+bonus,0x11FD
func,0x12DB,high_scores,int(long newScore),game_flow,,verified,0x127B
func,0x1369,scores_load,void(char *names long *scores char *cars),game_flow,,verified; CRC-8 seed = valid row count,0x1309
func,0x1482,scores_enter_name,void(long score int car char *names long *scores char *cars),game_flow,,verified,0x1422
func,0x162E,scores_save,void(char *names long *scores char *cars),game_flow,,verified,0x15CE
func,0x16D7,scores_show,int(char *names long *scores char *cars),game_flow,,verified,0x1677
func,0x186E,credits_show,int(void),game_flow,,verified,0x180E
func,0x1993,stage_results,void(long score),game_flow,,verified; gas station screen,0x1933
func,0x1B36,results_text,void(long score),game_flow,,verified; speed tiers 50/65/95/105,0x1AD6
func,0x1CFA,results_add_line,void(const char *s),game_flow,,verified,0x1C9A
func,0x1D20,results_scroll,void(void),game_flow,,verified,0x1CC0
