kind,address,name,type,owner,other_names,notes
func,0x0010,main,int main(int argc char **argv),game_flow,,verified; state machine intro/scores/menu/carselect/game/dos prompt
func,0x0243,load_cars_txt,void(void),game_flow,,verified; CARS.TXT up to 10 lines into DS:7F64
func,0x02BF,play_again_menu,int(void),game_flow,,verified; 0 same car 1 new car -1 Esc
func,0x037A,run_intro,int(void),game_flow,,verified; ACCOLADE.PES then TESTDRV.PES
func,0x03F4,intro_accolade,int(void),game_flow,,verified; acc/pres/copy wipe + bull bar
func,0x051B,intro_testdrive_car,int(void),game_flow,,verified; window anim then car drives off
func,0x0792,intro_testdrive_logo,int(void),game_flow,,verified; tdrv bounce + fob/tmar + controls hint
func,0x098C,car_select,int(void),game_flow,,verified; 0 Enter 1 Esc -1 timeout
func,0x0AB2,show_car,void(int idx int dir),game_flow,,verified flow; slide primitive 0x91CF guess
func,0x0D75,showroom_drive_away,void(int idx),game_flow,,verified; parses <car>.SS
func,0x1000,read_line_strip,void(char *buf int n FILE *f),game_flow,,verified; fgets + drop last char
func,0x1030,run_game,int(void),game_flow,,verified; 0 -> scores 1 -> intro
func,0x125D,stage_score,long(void),game_flow,,verified; factor*1e6/max(100 (t-par)*12)+bonus
func,0x12DB,high_scores,int(long newScore),game_flow,,verified
func,0x1369,scores_load,void(char *names long *scores char *cars),game_flow,,verified; CRC-8 seed = valid row count
func,0x1482,scores_enter_name,void(long score int car char *names long *scores char *cars),game_flow,,verified
func,0x162E,scores_save,void(char *names long *scores char *cars),game_flow,,verified
func,0x16D7,scores_show,int(char *names long *scores char *cars),game_flow,,verified
func,0x186E,credits_show,int(void),game_flow,,verified
func,0x1993,stage_results,void(long score),game_flow,,verified; gas station screen
func,0x1B36,results_text,void(long score),game_flow,,verified; speed tiers 50/65/95/105
func,0x1CFA,results_add_line,void(const char *s),game_flow,,verified
func,0x1D20,results_scroll,void(void),game_flow,,verified
func,0x1DC0,run_stage,int(void),game_flow,drive_stage stage_drive_loop,"verified; asm; -1 quit/demo end 0 game over 1 stage done | stage loop and frame composition (game_flow range) | game_flow: per-frame loop, handles DS:0929 exits"
func,0x1F4E,stage_init_road_ptr,void(void),scene_render,stage_init stage_reset_position,"verified | road_ptr = stage_ptr[stage]+0x2D | game_flow: road_pos = stage start + 45, clock 0"
func,0x1F7B,wait_fire_button,void(void),scene_render,wait_any_input,likely | poll 0x5C24 bit 0x10; skipped in demo
func,0x1F93,reset_car_state,void(void),scene_render,car_reset_state car_state_reset,see scene_render; provisional name | per-life reset | game_flow: resets simulation globals (after crash / stage start)
func,0x2013,snapshot_sim_state,void(void),scene_render,sim_snapshot_for_render,copy ISR state to render copies | scene_render: copies DS:0945..09AC to DS:09AD.. and other state for the frame
func,0x2054,project_road_main,void(void),scene_render,,39-row projection + span arrays
func,0x23F2,proj_x_main,AX=f(BX X;DX Z),scene_render,,600*X/Z clamp 3200 +480
func,0x2421,proj_y_main,AX=f(BX X;DX Z;CX Y),scene_render,,perspective y +70
func,0x2478,project_road_mirror,void(void),scene_render,,24-row mirror projection
func,0x282C,proj_x_mirror,AX=f(BX X;DX Z),scene_render,,150*X/Z clamp 800 +1120
func,0x285B,proj_y_mirror,AX=f(BX X;DX Z;CX Y),scene_render,,y sar2 clamp 0..17 +10
func,0x28C5,draw_road_main,void(void),scene_render,,road fill and deferred object list
func,0x2DEE,fill_road_scanlines_main,void(void),scene_render,,per-scanline spans
func,0x2E8B,fill_span_to,ZF=f(AX end;DX bytepos;DI;ES),scene_render,,set bits to end-1
func,0x2EDC,fill_scenery_above_road,void(void),scene_render,,colour 4/2 split above road
func,0x2F7A,draw_road_mirror,void(void),scene_render,,mirror objects
func,0x3306,fill_road_scanlines_mirror,void(void),scene_render,,mirror spans
func,0x339E,fill_span_to_mirror,ZF=f(AX end;DX;DI;ES),scene_render,,clamps x>=240
func,0x33FB,draw_mirror_background,void(void),scene_render,,clear + scenery split in mirror
func,0x349D,draw_buffer_overlays,void(void),scene_render,,mirr mask; tick; status text
func,0x351A,draw_gear_box,void(void),scene_render,,gear gate via RAM buffer
func,0x35C6,draw_dashboard_dynamic,void(void),scene_render,,radar; wheel XOR; marker; gauges
func,0x38CD,draw_digit,(BL digit;DX x),scene_render,,digital gauge digit
func,0x38EB,dealership_ending,void(void),scene_render,ending_dealership,see scene_render; deal + glove box note | stage 5 finish screens
func,0x392C,crash_windscreen_sequence,void(void),scene_render,crash_sequence,see scene_render; provisional name | windscreen crack lines
func,0x39EB,sin_deg,AX=f(AX deg),scene_render,,15*sin table DS:22F2
func,0x3A18,atan_lookup,AX=f(AX ratio256),scene_render,rpm_to_index_3a18,returns 45..90 | see scene_render (in its range)
func,0x3A37,interp_edge_span,(AX a;BX b;CL n;DL n;DI dst),scene_render,,span interpolation
func,0x3AC2,select_screen,void(void),scene_render,,target CS:5A7C
func,0x3ACE,select_road_buffer,void(void),scene_render,,target road buffer + default clip
func,0x3AF7,present_road_buffer,void(void),scene_render,scene_flip_page_3af7,replace-blit buffer to VRAM | boundary helper (page select + show); see scene_render
func,0x3B1C,sim_isr_exit_jmp,label,simulation,,jmp to 0x4673 (register restore + iret)
func,0x3B1F,sim_timer_isr,interrupt,simulation,,int 8 handler installed by 0x4792; chains old vector (0x6A1F sound ISR) then runs sim every 8th tick
func,0x3BB4,sim_input_charkey,label,simulation,,'d'/'D' toggles DS:08BE; 'o'/'O' toggles gate-shift mode DS:0921
func,0x3BEA,sim_tick,label,simulation,,"12.5 Hz simulation tick body: input, shifting, steering, engine, motion, traffic, police"
func,0x3CB8,sim_input_direction,label,simulation,,fire+direction shifting (gate graph or keyboard gear delta) / steer+throttle
func,0x3D7D,sim_steering,label,simulation,,steering angle DS:0914 update
func,0x3DDB,sim_shift_knob_anim,label,simulation,,"gear knob animation, 6 px per tick, completes the shift"
func,0x3EAA,sim_engine,label,simulation,,"idle decay, skid decel, brake, free-rev, torque/drag acceleration"
func,0x3FAD,sim_update_rpm,u16 DX(void),simulation,,"rpm = ratio*speed>>16, idle floor 800, over-rev => crash state"
func,0x3FE8,sim_motion,label,simulation,,"road advance: sub-unit counter, grip/skid, lateral drift, road edge, speed-limit signs"
func,0x40FE,sim_advance_unit,label,simulation,,one road unit advance (loops while sub-unit < 0)
func,0x4241,sim_lookahead,label,simulation,,"reads road byte 40 units ahead: 0xFF => stage end, object => 0x467D"
func,0x427F,sim_traffic_update,label,simulation,,"grind timer; oncoming list, same-direction list, cop FSM, removal, radar trap, hazard expiry"
func,0x438A,sim_cop_fsm,label,simulation,,police car state machine dispatch via DS:0A36
func,0x455F,sim_object_cleanup,label,simulation,,"traffic removal, radar trap trigger/chase start, hazard expiry; iret at 0x4673"
func,0x467D,sim_spawn_object,label,simulation,,"object code dispatch: police trap, oncoming, same-direction traffic, hazards"
func,0x4792,stage_enter_install_isr,void(void),simulation,stage_setup,"see simulation; sprites + int0/int8 hooks; provisional name | stage/cockpit sprite setup, PIT/sound init (0x698C), song 0xB05, hooks int 0 and int 8"
func,0x493D,car_data_ptr,u16(void),simulation,,returns 0x268F (address of car .BIN buffer)
func,0x4941,gfx_fill_rect,"void (s16 x, s16 y, s16 w, s16 h, u8 colour)",platform,fill_rect,"see platform; likely | Pixel rectangle fill, no clipping; RAM per-plane set/clear or EGA write mode 2; verified"
func,0x4B98,gfx_clear_screen,void (u8 colour),platform,clear_screen,"see platform; verified | Fills A000h (8000 bytes, all planes) regardless of target; verified"
func,0x4BD0,gfx_draw_text,"void (char *s, s16 x, s16 y)",platform,draw_text,"see platform; verified; falls into 0x4BE7 | Sets text cursor DS:6914/6916, falls into 0x4BE7; verified"
func,0x4BE7,gfx_draw_text_at_cursor,void (char *s),platform,draw_text_at_pen,"see platform; verified; 8x8 font renderer | Opaque 8×8 font text, fg DS:690E / bg DS:6910; verified"
func,0x4D78,gfx_set_border,void (u8 colour),platform,,INT 10h AH=0Bh; unreferenced; verified
func,0x4D84,gfx_set_palette,void (u16 ds_table),platform,set_palette,"see platform; verified; int10 AX=1002h | INT 10h AX=1002h, ES:DX = DS:table (17 bytes); verified"
func,0x4D96,gfx_init_ega,void (void),platform,video_init,"see platform; likely | Reset GC, clear, equipment = colour, mode 0Dh, palette DS:637C; verified"
func,0x4DF1,blit_or_clip_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Clipped OR blit at x−hot_x, y−hot_y; verified"
func,0x4E05,blit_or_clip_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Clipped OR blit at x, y; verified"
func,0x4E19,blit_or_clip_own,"void (u16 off, u16 seg)",platform,,"Clipped OR blit at header x&~3, y; verified"
func,0x50A1,gfx_set_clip,"void (u16 doff, u16 dseg, s16 x0, s16 x1, s16 y0, s16 y1)",platform,set_clip,"see platform; verified | Clip in byte columns / rows (x1, y1 exclusive); also updates the live copy; verified"
func,0x50FE,gfx_shutdown,void (void),platform,restore_text_mode,"see platform; likely | Clear screen, equipment = colour, INT 10h mode 3, AH=0Bh BX=20h; verified"
func,0x5128,gfx_select_target,"void (u16 doff, u16 dseg)",platform,set_target,"see platform; verified | Copies 12-word descriptor to CS:5A64, pointer to CS:5A60; verified"
func,0x5150,gfx_create_buffer,"far desc (u16 w_bytes, u16 h, u16 plane_mask)",platform,alloc_page,see platform; likely | Off-screen planar buffer (= sprite); descriptor in CS:5290..5A5F; verified
func,0x5C24,input_poll_drive,u16 (void),platform,read_controls read_joy_key,"see platform; likely | Last buffered key → direction/fire/hotkey, else joystick; ESC = 0xFFFF; verified | platform: joystick/keyboard -> AX (see simulation.md input section)"
func,0x5D84,blit_copy_clip_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,draw_sprite_at_hot,see platform; likely | Clipped REPLACE blit at hotspot; verified
func,0x5DB6,blit_copy_clip_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,draw_sprite_at,"see platform; likely | Clipped REPLACE blit at x, y; verified"
func,0x5DE2,blit_copy_clip_own,"void (u16 off, u16 seg)",platform,draw_sprite_5DE2,"see platform; guess | Clipped REPLACE at own x&~3, y; body of all clipped blits (0x5E0E); verified"
func,0x6762,res_find,"far ptr (u16 aoff, u16 aseg, char *name4)",platform,find_res,see platform; verified | Linear case-sensitive 4-char lookup; fatal if missing; verified
func,0x67DD,getkey_wait,u16 (void),platform,wait_key,see platform; verified | Loops `getkey` until nonzero; verified
func,0x67E8,getkey,u16 (void),platform,,Dispatch through CS:67F2[DS:6422] (modes 0/2/4); verified
func,0x67F8,getkey_kbd,mode 0,platform,,Non-blocking INT 16h: ASCII or scan<<8; verified
func,0x680E,getkey_kbd_joy_level,mode 2,platform,,Keyboard or level-triggered joystick menu codes; unused; verified
func,0x6846,getkey_kbd_ctrl,internal,platform,,"Drains INT 16h buffer, keeps last key, handles Ctrl hotkeys; verified"
func,0x68F4,getkey_kbd_joy_edge,mode 4 (used),platform,,Keyboard or edge-triggered joystick menu codes; verified
func,0x6939,kbd_flush,u16 (void),platform,,see platform; verified | Empties the BIOS keyboard buffer; verified
func,0x694A,timer_restore,void (void),platform,timer_stop,"see platform; likely | Restores INT 8, PIT ch0 divisor 0, speaker off; verified"
func,0x698C,timer_install_drive,void (void),platform,,"100.04 Hz, no BIOS chaining; verified"
func,0x699E,timer_install_menu,void (void),platform,timer_start,"see platform; verified; PIT 0x2E97 | 100.04 Hz, BIOS INT 8 every 5 ticks; verified"
func,0x69B6,timer_install_div,"void (int unused, u16 divisor)",platform,,Generic install; dead; verified
func,0x69CF,timer_install_common,DX = divisor,platform,,"Speaker off, 43h=B6h, hook INT 8 → 0x6A1F, load ch0 divisor; verified"
func,0x6A1F,timer_isr,INT 8 handler,platform,,"Tick count, BIOS chain, song step, EOI; verified"
func,0x6AA8,snd_fetch,internal,platform,,"Song bytecode interpreter (handlers 0x6B5A–0x6C38, table CS:6B42); verified"
func,0x6C3B,delay_ticks,void (u16 n),platform,delay,see platform; verified | Busy wait n ticks; verified
func,0x6C5B,getkey_timeout,u16 (u16 n),platform,,getkey with n-tick timeout; no callers; verified
func,0x6C85,gfx_set_text_colours,"void (u16 fg, u16 bg)",platform,text_color,see platform; verified | DS:690E / DS:6910; verified
func,0x6CBE,blit_copy_hot,"void (u16 off, u16 seg, s16 x, s16 y)",platform,draw_sprite_at_hot2,see platform; likely | Unclipped REPLACE at hotspot; verified
func,0x6CF0,blit_copy_raw,"void (u16 off, u16 seg, s16 x, s16 y)",platform,,"Unclipped REPLACE at x, y; verified"
func,0x6D1C,blit_copy_own,"void (u16 off, u16 seg)",platform,draw_sprite,"see platform; likely | Unclipped REPLACE at own x&~3, y; body of all unclipped blits (0x6D48); verified"
func,0x74E3,gfx_set_text_cursor,"void (s16 x, s16 y)",platform,,DS:6914/6916; verified
func,0x74F4,gfx_clear_clip,void (u8 colour),platform,fill_clip,see platform; verified | Fills the current clip rectangle (EGA path quirks); verified
func,0x768B,gfx_dissolve,"void (u16 off, u16 seg, u8 phase)",platform,wipe_step,"see platform; guess on pattern | Screen-only dissolve: 12 interlaced row passes, one pixel per byte; verified"
func,0x7864,getkey_until_deadline,u16 (void),platform,,"getkey until deadline, else 0; verified"
func,0x7881,wait_deadline,void (void),platform,frame_wait,see platform; verified | Busy wait until deadline; verified
func,0x7894,set_deadline,void (u16 ticks),platform,frame_start,"see platform; verified | DS:650C = now, DS:650E = ticks; verified"
